Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
6/8/2004,106.757042,109.8072432,106.757042,108.2821426,499150000,0,0
6/9/2004,108.2821277,111.3323285,106.7570273,109.8072281,294290000,0,0
6/10/2004,109.8072281,109.8072281,108.2821277,109.8072281,165590000,0,0
6/11/2004,108.2821277,109.8072281,108.2821277,109.8072281,135830000,0,0
6/14/2004,109.8072432,109.8072432,106.757042,108.2821426,158540000,0,0
6/15/2004,106.7570642,111.3323669,106.7570642,111.3323669,297620000,0,0
6/16/2004,111.3323285,111.3323285,108.2821277,109.8072281,104270000,0,0
6/17/2004,108.2821426,108.2821426,106.757042,108.2821426,350150000,0,0
6/18/2004,106.757042,108.2821426,106.757042,108.2821426,263260000,0,0
6/21/2004,108.2821426,108.2821426,106.757042,108.2821426,331870000,0,0
6/22/2004,108.2821426,109.8072432,108.2821426,108.2821426,56870000,0,0
6/23/2004,109.8072281,109.8072281,108.2821277,109.8072281,469190000,0,0
6/24/2004,109.8072281,109.8072281,108.2821277,109.8072281,191310000,0,0
6/25/2004,109.807266,111.3323669,109.807266,111.3323669,154310000,0,0
6/28/2004,111.3323669,111.3323669,109.807266,111.3323669,260860000,0,0
6/29/2004,111.3323216,112.8574219,111.3323216,112.8574219,123060000,0,0
6/30/2004,112.8574298,114.3825302,111.3323294,114.3825302,291260000,0,0
7/1/2004,124.7809663,124.7809663,121.3148284,123.0478973,203090000,22.5,0
7/2/2004,123.0478837,124.7809525,123.0478837,124.7809525,490800000,0,0
7/5/2004,124.7809525,124.7809525,124.7809525,124.7809525,0,0,0
7/6/2004,126.5139962,129.9801331,124.7809277,129.9801331,826610000,0,0
7/7/2004,128.2470646,131.7132015,126.5139962,129.9801331,382570000,0,0
7/8/2004,129.9801331,131.7132015,128.2470646,129.9801331,284740000,0,0
7/9/2004,128.2470591,131.7131958,128.2470591,131.7131958,381140000,0,0
7/12/2004,131.7131958,135.1793325,129.9801274,131.7131958,478410000,0,0
7/13/2004,131.7132354,133.4463043,129.9801665,133.4463043,133420000,0,0
7/14/2004,131.7132015,131.7132015,128.2470646,129.9801331,243420000,0,0
7/15/2004,128.2470646,129.9801331,126.5139962,129.9801331,134890000,0,0
7/16/2004,128.2470591,131.7131958,128.2470591,131.7131958,140620000,0,0
7/19/2004,129.9801274,131.7131958,129.9801274,131.7131958,43940000,0,0
7/20/2004,129.9801274,131.7131958,129.9801274,131.7131958,168890000,0,0
7/21/2004,129.9801274,131.7131958,129.9801274,131.7131958,162420000,0,0
7/22/2004,129.9801274,131.7131958,129.9801274,131.7131958,61730000,0,0
7/23/2004,129.9801274,131.7131958,129.9801274,131.7131958,15670000,0,0
7/26/2004,129.9801331,129.9801331,126.5139962,129.9801331,517650000,0,0
7/27/2004,128.2470646,129.9801331,126.5139962,129.9801331,254000000,0,0
7/28/2004,129.9801331,129.9801331,128.2470646,129.9801331,172520000,0,0
7/29/2004,129.9801331,129.9801331,128.2470646,129.9801331,57950000,0,0
7/30/2004,129.9801331,129.9801331,128.2470646,129.9801331,224110000,0,0
8/2/2004,128.2470703,129.9801388,128.2470703,128.2470703,27010000,0,0
8/3/2004,128.2470646,131.7132015,128.2470646,129.9801331,326000000,0,0
8/4/2004,129.9801274,131.7131958,129.9801274,131.7131958,254660000,0,0
8/5/2004,129.9801274,131.7131958,129.9801274,131.7131958,133330000,0,0
8/6/2004,129.9801331,131.7132015,129.9801331,129.9801331,126340000,0,0
8/9/2004,128.2470994,128.2470994,124.7809615,126.5140305,364660000,0,0
8/10/2004,126.5140305,126.5140305,126.5140305,126.5140305,108000000,0,0
8/11/2004,128.2470703,128.2470703,128.2470703,128.2470703,144040000,0,0
8/12/2004,128.2470994,128.2470994,126.5140305,126.5140305,13100000,0,0
8/13/2004,126.5140305,128.2470994,126.5140305,126.5140305,113270000,0,0
8/16/2004,126.5140212,126.5140212,124.7809525,124.7809525,143450000,0,0
8/17/2004,124.7809525,124.7809525,124.7809525,124.7809525,0,0,0
8/18/2004,126.5140018,128.2470703,126.5140018,128.2470703,236070000,0,0
8/19/2004,128.2470703,128.2470703,126.5140018,128.2470703,54470000,0,0
8/20/2004,126.5140305,128.2470994,126.5140305,126.5140305,6340000,0,0
8/23/2004,126.5140305,128.2470994,126.5140305,126.5140305,34770000,0,0
8/24/2004,126.5140305,126.5140305,124.7809615,126.5140305,343910000,0,0
8/25/2004,126.5140212,126.5140212,123.0478837,124.7809525,20510000,0,0
8/26/2004,123.0478837,124.7809525,123.0478837,124.7809525,26650000,0,0
8/27/2004,124.7809615,126.5140305,124.7809615,126.5140305,152960000,0,0
8/30/2004,124.7809663,124.7809663,123.0478973,123.0478973,217280000,0,0
8/31/2004,124.7809525,126.5140212,124.7809525,124.7809525,241830000,0,0
9/1/2004,124.7809277,129.9801331,124.7809277,129.9801331,785500000,0,0
9/2/2004,129.9801331,131.7132015,128.2470646,129.9801331,625450000,0,0
9/3/2004,129.9801274,133.4462642,129.9801274,131.7131958,380010000,0,0
9/6/2004,131.7132015,133.4462699,129.9801331,129.9801331,300650000,0,0
9/7/2004,129.9801388,129.9801388,128.2470703,128.2470703,380160000,0,0
9/8/2004,128.2470591,131.7131958,128.2470591,131.7131958,148760000,0,0
9/9/2004,129.9801388,129.9801388,124.7809333,128.2470703,1124760000,0,0
9/10/2004,128.2470646,131.7132015,126.5139962,129.9801331,807590000,0,0
9/13/2004,129.9801331,129.9801331,129.9801331,129.9801331,0,0,0
9/14/2004,131.713253,138.6455294,131.713253,136.9124603,1532050000,0,0
9/15/2004,136.912433,142.1116393,135.1793642,140.3785706,1588000000,0,0
9/16/2004,138.6455078,138.6455078,136.912439,138.6455078,208620000,0,0
9/17/2004,136.912439,138.6455078,133.4463013,138.6455078,302950000,0,0
9/20/2004,138.6455078,138.6455078,138.6455078,138.6455078,0,0,0
9/21/2004,140.3785886,145.5777956,140.3785886,143.8447266,1901600000,0,0
9/22/2004,143.8447174,143.8447174,140.3785797,142.1116486,210400000,0,0
9/23/2004,140.3785797,143.8447174,140.3785797,142.1116486,623640000,0,0
9/24/2004,140.3785797,142.1116486,140.3785797,142.1116486,10480000,0,0
9/27/2004,140.3785767,142.1116455,136.912439,138.6455078,174580000,0,0
9/28/2004,138.6455294,138.6455294,136.9124603,136.9124603,331780000,0,0
9/29/2004,136.912439,138.6455078,136.912439,138.6455078,244270000,0,0
9/30/2004,138.6455078,140.3785767,136.912439,138.6455078,270690000,0,0
10/1/2004,138.6455018,140.3785706,138.6455018,140.3785706,447560000,0,0
10/4/2004,140.3786348,147.3109131,140.3786348,147.3109131,1251590000,0,0
